파가, 141, 90
라타, 154, 76
자파, 167, 50
파자, 190, 52
하카, 169, 40
아차, 153, 45
하나, 172, 59
차나, 166, 46
다타, 173, 72
아타, 193, 49
파다, 159, 68
카아, 184, 84
가타, 157, 49
나바, 150, 44
아다, 151, 98
나다, 188, 56
카카, 140, 72
파하, 153, 55
나라, 178, 86
자라, 184, 72
가카, 185, 47
사라, 180, 82
사타, 146, 45
라카, 145, 53
차차, 143, 48
하마, 181, 85
카타, 145, 48
라자, 182, 99
타라, 179, 63
다타, 141, 54
자사, 162, 51
타바, 152, 88
가타, 177, 58
타다, 169, 85
타카, 179, 59
차차, 170, 87
파마, 169, 86
나바, 193, 54
다라, 171, 99
사카, 154, 86
하파, 199, 89
자바, 166, 82
카자, 146, 44
아마, 166, 75
가타, 192, 94
가하, 184, 69
타타, 179, 45
차하, 149, 88
아마, 184, 42
라타, 182, 53
라아, 189, 90
타라, 154, 77
하사, 180, 77
가마, 171, 72
타하, 184, 49
가차, 198, 48
바다, 171, 56
차가, 173, 52
사마, 153, 57
파타, 159, 75
라차, 153, 86
마가, 188, 75
자파, 162, 62
차카, 173, 72
타나, 178, 94
가자, 173, 73
카하, 164, 94
차나, 153, 78
파파, 192, 51
다차, 158, 86
카타, 168, 55
파바, 179, 59
가타, 174, 77
타바, 175, 67
아가, 154, 92
하바, 172, 85
카파, 182, 63
아타, 143, 49
마파, 184, 44
마마, 144, 95
타차, 183, 60
카카, 188, 54
다가, 148, 58
다가, 179, 44
가마, 184, 98
타마, 164, 44
나바, 174, 85
아라, 181, 54
하아, 163, 94
차다, 161, 40
파아, 188, 67
다마, 199, 80
아다, 175, 59
아카, 177, 65
바자, 157, 73
나하, 188, 62
바타, 166, 46
아자, 169, 67
타바, 157, 69
카다, 155, 43
카하, 168, 48
아파, 143, 67
나카, 170, 51
나아, 182, 64
사바, 190, 71
사다, 180, 77
다자, 182, 60
다타, 148, 63
차가, 174, 40
하아, 198, 91
라아, 188, 73
차마, 168, 97
타자, 145, 81
나가, 158, 62
가자, 166, 78
사바, 189, 90
바카, 162, 92
하나, 144, 74
파카, 151, 81
사차, 188, 50
자카, 191, 63
타자, 170, 55
나차, 198, 94
타가, 174, 93
하바, 154, 96
마카, 177, 55
아파, 142, 83
하마, 181, 66
파타, 184, 45
카바, 190, 64
파자, 181, 44
라라, 155, 54
가차, 167, 79
바카, 183, 76
마바, 174, 97
파차, 144, 68
가가, 178, 68
차하, 150, 75
다자, 187, 65
하차, 183, 59
나마, 159, 41
마나, 149, 84
사차, 144, 58
차아, 176, 71
나카, 141, 87
아카, 183, 95
자파, 172, 75
마자, 178, 90
타아, 185, 57
라바, 155, 87
자아, 190, 65
하차, 175, 98
사파, 149, 96
타카, 154, 56
마하, 156, 67
파다, 166, 84
타차, 174, 54
다차, 187, 80
바바, 199, 51
타타, 160, 54
사하, 150, 42
나아, 197, 94
바라, 181, 63
카자, 148, 41
파다, 166, 91
타라, 166, 81
하차, 179, 68
자나, 158, 44
아라, 153, 61
차가, 180, 97
나가, 188, 97
하하, 170, 71
파하, 168, 60
하카, 142, 86
파가, 182, 49
하바, 180, 56
바파, 189, 41
자아, 147, 63
바나, 180, 93
차라, 141, 93
파차, 147, 57
하다, 196, 65
타아, 143, 84
카가, 172, 59
사타, 177, 56
차타, 180, 87
카라, 179, 67
카가, 184, 66
가하, 162, 81
마나, 157, 53
나카, 181, 46
라타, 172, 51
자다, 159, 56
바차, 145, 49
카사, 156, 71
마가, 171, 46
나사, 147, 89
파바, 161, 80
하카, 166, 95
차파, 187, 46
다나, 170, 83
마아, 173, 93
타라, 179, 85
카차, 180, 57
차하, 152, 77
다라, 169, 42
파아, 171, 76
마라, 153, 80
타라, 198, 80
파라, 153, 56
나나, 160, 95
타하, 192, 92
하하, 184, 69
아가, 156, 98
자가, 173, 65
아나, 167, 58
아사, 147, 42
카다, 149, 74
가마, 180, 65
마아, 152, 43
파아, 183, 98
카자, 152, 69
다바, 175, 44
자자, 178, 72
바마, 193, 92
라다, 153, 73
자나, 179, 55
하자, 187, 45
라하, 188, 75
자자, 144, 93
차파, 193, 58
사카, 169, 66
라다, 187, 51
파가, 149, 58
자사, 140, 72
자카, 189, 63
아카, 180, 83
파다, 179, 93
다가, 173, 41
카마, 185, 53
타마, 186, 51
카자, 185, 48
나차, 147, 42
카바, 164, 80
바파, 188, 57
라가, 146, 60
아하, 197, 97
나카, 161, 84
나카, 172, 58
아다, 199, 55
다차, 149, 99
파타, 182, 49
다마, 198, 60
나타, 165, 50
마자, 190, 91
타차, 166, 94
가하, 165, 75
가마, 183, 55
자하, 189, 78
하타, 190, 97
바타, 162, 48
가나, 181, 45
가마, 186, 50
라타, 178, 93
나사, 151, 62
사하, 177, 61
라나, 186, 77
마아, 170, 92
아가, 177, 45
아다, 140, 66
자타, 175, 74
다라, 166, 88
카사, 172, 93
다사, 189, 85
파나, 166, 80
라아, 172, 73
마아, 148, 45
가차, 153, 43
타아, 149, 62
가가, 197, 92
타카, 143, 92
타아, 142, 92
다바, 146, 49
타타, 145, 75
사바, 183, 92
파라, 163, 82
마자, 148, 77
라자, 140, 67
바아, 149, 84
카하, 190, 72
다다, 195, 50
차나, 194, 64
나가, 197, 72
파하, 192, 44
라자, 155, 67
마파, 198, 62
하아, 197, 41
카차, 154, 98
다바, 197, 91
차자, 193, 80
마가, 168, 48
다차, 145, 48
가아, 140, 59
바라, 183, 89
하차, 167, 64
하마, 198, 52
나나, 182, 41
바다, 182, 88
자차, 174, 50
파하, 192, 56
나라, 176, 44
라하, 179, 95
하나, 188, 40
가파, 171, 96
가카, 146, 74
라바, 181, 68
다다, 147, 63
나자, 190, 93
카바, 155, 58
파타, 199, 94
마마, 158, 70
사나, 198, 42
파나, 172, 55
타다, 140, 65
마다, 186, 67
타가, 164, 67
나나, 172, 81
아파, 142, 59
차차, 170, 46
타파, 143, 92
가아, 174, 93
파카, 177, 56
타가, 174, 74
자자, 186, 41
카다, 179, 77
가자, 147, 71
가하, 191, 58
다차, 184, 95
카타, 194, 86
카자, 157, 90
하사, 170, 63
하마, 169, 74
아바, 189, 64
바타, 158, 63
나하, 198, 91
하자, 171, 60
타가, 175, 60
타카, 157, 53
아사, 195, 48
타마, 173, 81
사나, 180, 80
나타, 140, 69
바자, 159, 89
자카, 160, 51
차바, 140, 95
하나, 158, 56
사자, 169, 83
타아, 187, 70
가차, 195, 43
다마, 155, 68
마자, 152, 83
차자, 185, 63
하하, 183, 66
타파, 143, 73
가카, 167, 47
타가, 193, 83
자타, 157, 56
라바, 152, 50
차나, 162, 57
다자, 140, 94
다바, 160, 99
아자, 174, 76
바하, 189, 99
사파, 140, 69
바라, 166, 55
마마, 142, 65
가카, 163, 99
자다, 149, 83
마가, 163, 99
파가, 185, 59
아나, 148, 65
라라, 197, 73
나바, 151, 97
다나, 146, 67
자다, 165, 77
아파, 164, 66
바라, 163, 74
바하, 175, 53
차자, 193, 92
차나, 199, 74
가파, 154, 72
바가, 152, 88
자타, 172, 56
나자, 197, 44
자타, 147, 81
카타, 157, 63
자나, 199, 77
다가, 140, 91
하바, 178, 44
가파, 196, 97
차라, 172, 96
차자, 178, 75
차하, 183, 44
다사, 186, 77
타파, 191, 94
나타, 152, 79
아타, 143, 69
나파, 170, 59
자아, 176, 44
카다, 182, 85
자타, 177, 87
라파, 178, 64
파아, 175, 70
다마, 167, 92
사다, 188, 69
파다, 172, 72
다가, 151, 81
다바, 183, 91
카마, 191, 42
다아, 181, 67
타파, 148, 54
아타, 198, 70
나타, 184, 91
카사, 151, 48
하파, 176, 62
카다, 173, 87
마자, 158, 46
자파, 186, 53
자하, 157, 76
나하, 193, 64
아나, 163, 97
자하, 177, 41
하타, 142, 88
바차, 193, 43
다파, 144, 75
나카, 152, 75
가자, 196, 45
파하, 161, 78
카사, 199, 85
카아, 182, 96
카가, 180, 56
마타, 184, 56
가마, 171, 48
사다, 179, 42
자차, 147, 93
차차, 197, 42
다마, 171, 72
다다, 167, 74
자파, 172, 70
바자, 185, 59
타카, 161, 56
마마, 167, 93
아나, 173, 80
타다, 177, 40
다바, 164, 87
가마, 157, 84
라나, 183, 71
사파, 188, 52
가바, 193, 79
하차, 163, 77
타아, 171, 88
다마, 147, 43
사마, 152, 41
사가, 141, 85
파라, 146, 40
마자, 182, 97
가하, 140, 81
차바, 161, 53
파바, 173, 48
나타, 166, 77
파마, 177, 66
타자, 187, 79
가가, 167, 81
자하, 152, 87
카타, 178, 94
다바, 163, 55
차차, 156, 81
마가, 162, 71
라카, 150, 73
하가, 198, 86
가파, 165, 45
바다, 155, 77
다바, 164, 72
마라, 156, 97
타바, 143, 78
하다, 153, 83
자나, 146, 55
카아, 145, 67
바가, 195, 65
나타, 186, 75
카가, 162, 70
타차, 181, 63
아바, 171, 67
마가, 167, 98
차카, 172, 78
카가, 178, 41
타아, 172, 92
라카, 171, 61
타아, 189, 81
마파, 153, 90
나마, 196, 64
카바, 146, 46
가타, 179, 69
카타, 163, 98
가사, 177, 78
나하, 184, 51
바가, 189, 98
타다, 144, 53
자하, 180, 46
사라, 157, 79
사사, 162, 94
바바, 147, 50
바라, 182, 47
라카, 197, 94
아라, 167, 87
차타, 191, 82
나카, 188, 44
다차, 164, 90
카가, 173, 40
자라, 198, 69
마가, 185, 68
나가, 150, 91
라라, 152, 63
나가, 171, 71
하카, 141, 44
아아, 166, 55
하라, 169, 97
다타, 141, 43
하나, 144, 62
카바, 145, 83
가마, 179, 87
자파, 191, 99
아바, 150, 63
차마, 192, 80
사라, 180, 43
아파, 142, 66
라차, 178, 50
아자, 155, 72
카라, 174, 75
하아, 170, 78
나사, 198, 70
다라, 148, 75
자타, 148, 70
차가, 158, 85
바아, 179, 47
카사, 141, 48
아나, 178, 45
사타, 171, 99
하아, 158, 57
아파, 167, 53
차파, 175, 48
다자, 199, 75
차파, 140, 63
바파, 145, 59
사라, 193, 68
마자, 192, 60
다다, 184, 56
사사, 169, 74
라차, 170, 77
가하, 157, 74
차바, 196, 59
나사, 148, 49
자라, 145, 43
마나, 191, 65
하마, 181, 54
카하, 193, 87
하가, 149, 83
파하, 194, 81
가카, 168, 59
카자, 143, 50
라타, 157, 85
타차, 168, 94
라타, 181, 69
카다, 163, 41
타가, 188, 72
카아, 194, 91
다다, 154, 98
아라, 140, 42
타자, 198, 53
바자, 165, 53
차파, 185, 52
가마, 185, 54
타바, 141, 97
차다, 197, 56
사가, 175, 55
바카, 187, 55
자자, 197, 50
